Slope_Pct,Aspect,Tri_Index,Node_Index,TinNod.xyz
1.666666667,180,1998,777,"316410.22,2901248.82,180"
1.666666667,180,1998,1002,"316710.22,2901248.82,180"
1.666666667,180,1999,784,"316710.22,2900948.82,175"
1.666666667,180,1999,1002,"316710.22,2901248.82,180"
1.666666667,180,1999,1193,"317010.22,2901248.82,180"
6.936217349,305.217593,2383,784,"316710.22,2900948.82,175"
6.936217349,305.217593,2383,1193,"317010.22,2901248.82,180"
6.936217349,305.217593,2383,1195,"317010.22,2900948.82,192"
5,323.1301024,2379,1193,"317010.22,2901248.82,180"
5,323.1301024,2379,1195,"317010.22,2900948.82,192"
5,323.1301024,2379,1003,"317310.22,2901248.82,189"
3.605551275,326.3099325,2385,1195,"317010.22,2900948.82,192"
3.605551275,326.3099325,2385,1003,"317310.22,2901248.82,189"
3.605551275,326.3099325,2385,1196,"317310.22,2900948.82,198"
3.282952601,336.037511,1586,1003,"317310.22,2901248.82,189"
3.282952601,336.037511,1586,1196,"317310.22,2900948.82,198"
3.282952601,336.037511,1586,1010,"317610.22,2900948.82,202"
11.94896555,30.14138555,2000,1003,"317310.22,2901248.82,189"
11.94896555,30.14138555,2000,1010,"317610.22,2900948.82,202"
11.94896555,30.14138555,2000,1194,"317610.22,2901248.82,171"
10.35481638,3.691385986,2381,1010,"317610.22,2900948.82,202"
10.35481638,3.691385986,2381,1194,"317610.22,2901248.82,171"
10.35481638,3.691385986,2381,531,"317910.22,2901248.82,169"
8.749603166,72.25532837,2387,1010,"317610.22,2900948.82,202"
8.749603166,72.25532837,2387,531,"317910.22,2901248.82,169"
8.749603166,72.25532837,2387,1197,"317910.22,2900948.82,177"
10.3494498,284.9314172,2014,531,"317910.22,2901248.82,169"
10.3494498,284.9314172,2014,1197,"317910.22,2900948.82,177"
10.3494498,284.9314172,2014,785,"318210.22,2900948.82,207"
10.85254706,349.3803447,2001,531,"317910.22,2901248.82,169"
10.85254706,349.3803447,2001,785,"318210.22,2900948.82,207"
10.85254706,349.3803447,2001,1004,"318210.22,2901248.82,175"
6.009252126,199.4400348,1069,531,"317910.22,2901248.82,169"
6.009252126,199.4400348,1069,1004,"318210.22,2901248.82,175"
6.009252126,199.4400348,1069,997,"318210.22,2901548.82,192"
6.411794687,207.897271,2002,1004,"318210.22,2901248.82,175"
6.411794687,207.897271,2002,997,"318210.22,2901548.82,192"
6.411794687,207.897271,2002,340,"318510.22,2901548.82,201"
6.146362972,220.6012946,2003,1004,"318210.22,2901248.82,175"
6.146362972,220.6012946,2003,340,"318510.22,2901548.82,201"
6.146362972,220.6012946,2003,1005,"318510.22,2901248.82,187"
6.599663291,225,1505,340,"318510.22,2901548.82,201"
6.599663291,225,1505,1005,"318510.22,2901248.82,187"
6.599663291,225,1505,778,"318810.22,2901248.82,201"
